Source,Date,Mean
GCAG,1958-06,0.0624
GCAG,1958-05,0.1007
GCAG,1958-04,0.114
GCAG,1958-03,0.1181
GCAG,1958-02,0.2103
GCAG,1958-01,0.2964
GCAG,1957-12,0.229
GCAG,1957-11,0.1282
GCAG,1957-10,0.0143
GCAG,1957-09,0.0748
GCAG,1957-08,0.1302
GCAG,1957-07,0.0596
GCAG,1957-06,0.1577
GCAG,1957-05,0.1092
GCAG,1957-04,-0.0193
GCAG,1957-03,-0.068
GCAG,1957-02,-0.1118
GCAG,1957-01,-0.1178
GCAG,1956-12,-0.153
GCAG,1956-11,-0.1564
GCAG,1956-10,-0.1989
GCAG,1956-09,-0.252
GCAG,1956-08,-0.1866
GCAG,1956-07,-0.1346
GCAG,1956-06,-0.1437
GCAG,1956-05,-0.2275
GCAG,1956-04,-0.2846
GCAG,1956-03,-0.2003
GCAG,1956-02,-0.2732
GCAG,1956-01,-0.1773
GCAG,1955-12,-0.2706
GCAG,1955-11,-0.2373
GCAG,1955-10,-0.1232
GCAG,1955-09,-0.0923
GCAG,1955-08,-0.0262
GCAG,1955-07,-0.0881
GCAG,1955-06,-0.0695
GCAG,1955-05,-0.1274
GCAG,1955-04,-0.2383
GCAG,1955-03,-0.3091
GCAG,1955-02,-0.1303
GCAG,1955-01,0.0879
GCAG,1954-12,-0.1859
GCAG,1954-11,0.039
GCAG,1954-10,-0.0694
GCAG,1954-09,-0.0595
GCAG,1954-08,-0.0913
GCAG,1954-07,-0.1229
GCAG,1954-06,-0.1161
GCAG,1954-05,-0.202
GCAG,1954-04,-0.1766
GCAG,1954-03,-0.091
GCAG,1954-02,-0.0865
GCAG,1954-01,-0.2352
GCAG,1953-12,0.0555
GCAG,1953-11,-0.0621
GCAG,1953-10,0.0723
GCAG,1953-09,0.0632
GCAG,1953-08,0.0812
GCAG,1953-07,0.0662
GCAG,1953-06,0.124
GCAG,1953-05,0.144
GCAG,1953-04,0.1873
GCAG,1953-03,0.1539
GCAG,1953-02,0.1534
GCAG,1953-01,0.1037
GCAG,1952-12,-0.008
GCAG,1952-11,-0.1975
GCAG,1952-10,-0.0366
GCAG,1952-09,0.0653
GCAG,1952-08,0.0647
GCAG,1952-07,0.0735
GCAG,1952-06,0.0396
GCAG,1952-05,0.034
GCAG,1952-04,0.0666
GCAG,1952-03,-0.048
GCAG,1952-02,0.0921
GCAG,1952-01,0.152
GCAG,1951-12,0.2148
GCAG,1951-11,0.026
GCAG,1951-10,0.1081
GCAG,1951-09,0.1322
GCAG,1951-08,0.113
GCAG,1951-07,0.1101
GCAG,1951-06,0.0381
GCAG,1951-05,0.0569
GCAG,1951-04,-0.0877
GCAG,1951-03,-0.1689
GCAG,1951-02,-0.4101
GCAG,1951-01,-0.2903
GCAG,1950-12,-0.181
GCAG,1950-11,-0.3605
GCAG,1950-10,-0.1661
GCAG,1950-09,-0.1049
GCAG,1950-08,-0.1382
GCAG,1950-07,-0.1053
GCAG,1950-06,-0.0559
GCAG,1950-05,-0.0536
GCAG,1950-04,-0.1706
GCAG,1950-03,-0.0868
GCAG,1950-02,-0.2389
GCAG,1950-01,-0.2777
GCAG,1949-12,-0.1821
GCAG,1949-11,-0.0534
GCAG,1949-10,-0.0297
GCAG,1949-09,-0.0701
GCAG,1949-08,-0.0217
GCAG,1949-07,-0.077
GCAG,1949-06,-0.1486
GCAG,1949-05,-0.0063
GCAG,1949-04,0.0076
GCAG,1949-03,-0.0732
GCAG,1949-02,-0.1476
GCAG,1949-01,0.1209
GCAG,1948-12,-0.1121
GCAG,1948-11,-0.056
GCAG,1948-10,-0.065
GCAG,1948-09,-0.1032
GCAG,1948-08,-0.0282
GCAG,1948-07,-0.0622
GCAG,1948-06,-0.015
GCAG,1948-05,0.1427
GCAG,1948-04,-0.0646
GCAG,1948-03,-0.1841
GCAG,1948-02,-0.0906
GCAG,1948-01,0.0535
GCAG,1947-12,-0.1463
GCAG,1947-11,-0.0238
GCAG,1947-10,0.0549
GCAG,1947-09,-0.1306
GCAG,1947-08,-0.0623
GCAG,1947-07,-0.0138
GCAG,1947-06,0.0208
GCAG,1947-05,-0.019
